lluvia,ir,u_D,fecha_hora_med,u_R,il,il_c,ir_c,u_P,p,r,t,h,t_CPU,r_c,h_c
0.13,0,22.5,2019-12-21T00:52:04.000z,27.7,29.5658,960,0,14.333333333333334,309.7104,0,-73.13084,1.294206,62.3,0,959
0.13,0,22.5,2019-12-21T00:52:15.000z,28.6,29.5658,960,0,14.333333333333334,309.7104,0,-73.13084,-0.266667,62.3,0,0
0.13,0,22.5,2019-12-21T00:52:26.000z,28.8,29.5658,960,0,13.75,309.7104,0,-73.13084,0.604102,62.3,0,535
0.13,0,22.5,2019-12-21T00:52:37.000z,28.8,29.5658,960,0,13.0,309.7104,1.694476e-06,-73.13084,0.532487,62.3,8,491
0.13,0,22.5,2019-12-21T00:52:48.000z,28.8,28.42535,962,0,13.166666666666666,309.7104,0,-73.13084,1.295833,62.3,0,960
0.13,0,22.5,2019-12-21T00:52:59.000z,28.8,28.42535,962,0,12.416666666666666,309.7104,0,-73.13084,1.297461,62.3,0,961
0.13,0,22.5,2019-12-21T00:53:11.000z,28.8,29.5658,960,0,12.333333333333334,309.7104,0,-73.13084,0.060482,61.224,0,201
0.13,0,22.5,2019-12-21T00:53:22.000z,28.9,28.99422,961,0,11.75,309.7104,9.348831e-06,-73.13084,-0.266667,61.224,20,0
0.13,0,22.5,2019-12-21T00:53:33.000z,29.1,28.99422,961,0,12.833333333333334,309.7104,0.000139,-73.13084,1.299089,62.3,72,962
0.13,0,22.5,2019-12-21T00:53:44.000z,29.2,29.5658,960,0,12.916666666666666,309.7104,0,-73.13084,0.197201,62.3,0,285
0.13,0,22.5,2019-12-21T00:53:55.000z,29.1,28.99422,961,0,11.833333333333334,309.7104,0,-73.13084,1.295833,61.224,0,960
0.13,0,22.5,2019-12-21T00:54:06.000z,29.1,29.5658,960,0,12.083333333333334,309.7104,0,-73.13084,1.299089,61.762,0,962
0.13,0,22.5,2019-12-21T00:54:18.000z,29.2,28.99422,961,0,11.333333333333334,309.7104,0,-73.13084,0.268815,61.224,0,329
0.13,0,22.5,2019-12-21T00:54:29.000z,29.2,29.5658,960,0,10.833333333333334,309.7104,0,-73.13084,1.295833,61.762,0,960
0.13,0,22.5,2019-12-21T00:54:40.000z,29.2,28.42535,962,0,10.333333333333334,309.7104,0,-73.13084,1.299089,61.762,0,962
0.13,0,22.5,2019-12-21T00:54:51.000z,29.1,28.42535,962,0,10.416666666666666,309.7104,0,-73.13084,1.299089,61.762,0,962
0.13,0,22.5,2019-12-21T00:55:02.000z,29.1,28.99422,961,0,9.916666666666666,309.7104,0,-73.13084,1.299089,61.224,0,962
0.13,0,22.5,2019-12-21T00:55:13.000z,29.1,28.99422,961,0,10.333333333333334,309.7104,0,-73.13084,1.12168,61.762,0,853
0.13,0,22.5,2019-12-21T00:55:24.000z,29.1,29.5658,960,0,9.75,309.7104,0,-73.13084,-0.266667,62.3,0,0
0.13,0,22.5,2019-12-21T00:55:36.000z,29.1,28.99422,961,0,10.0,309.7104,0,-73.13084,-0.084375,61.224,0,112
0.13,0,22.5,2019-12-21T00:55:47.000z,29.1,30.14016,959,0,9.416666666666666,309.7104,0,-73.13084,-0.266667,62.3,0,0
0.13,0,22.5,2019-12-21T00:55:58.000z,29.1,29.5658,960,0,9.916666666666666,309.7104,0,-73.13084,1.297461,61.224,0,961
0.13,0,22.5,2019-12-21T00:56:09.000z,29.1,29.5658,960,0,9.416666666666666,309.7104,0,-73.13084,0.550391,61.224,0,502
0.13,0,22.5,2019-12-21T00:56:20.000z,29.1,29.5658,960,0,9.0,309.7104,0,-73.13084,-0.266667,61.224,0,0
0.13,0,22.5,2019-12-21T00:56:31.000z,29.1,29.5658,960,0,8.416666666666666,309.7104,0,-73.13084,1.297461,61.224,0,961
0.13,0,22.5,2019-12-21T00:56:42.000z,29.1,29.5658,960,0,9.0,309.7104,0,-73.13084,1.295833,61.224,0,960
0.13,0,22.5,2019-12-21T00:56:54.000z,29.1,28.42535,962,0,8.5,309.7104,0,-73.13084,1.24375,61.224,0,928
0.13,0,22.5,2019-12-21T00:57:05.000z,29.1,29.5658,960,0,9.0,309.7104,0,-73.13084,-0.266667,61.224,0,0
0.13,0,22.5,2019-12-21T00:57:16.000z,29.1,28.99422,961,0,8.416666666666666,309.7104,0,-73.13084,-0.266667,61.224,0,0
0.13,0,22.5,2019-12-21T00:57:27.000z,29.1,29.5658,960,0,8.916666666666666,309.7104,0,-73.13084,-0.266667,61.224,0,0
0.13,0,22.5,2019-12-21T00:57:38.000z,29.1,30.14016,959,0,8.5,309.7104,0,-73.13084,1.299089,61.224,0,962
0.13,0,22.5,2019-12-21T00:57:49.000z,29.1,29.5658,960,0,8.083333333333334,309.7104,0,-73.13084,1.297461,60.686,0,961
0.13,0,22.5,2019-12-21T00:58:00.000z,29.1,29.5658,960,0,8.583333333333334,309.7104,0,-73.13084,-0.266667,61.224,0,0
0.13,0,22.5,2019-12-21T00:58:12.000z,29.1,29.5658,960,0,7.916666666666667,309.7104,0,-73.13084,-0.266667,61.224,0,0
0.13,0,22.5,2019-12-21T00:58:23.000z,29.0,28.99422,961,0,7.583333333333333,309.7104,0,-73.13084,-0.266667,61.762,0,0
0.13,0,22.5,2019-12-21T00:58:34.000z,29.0,30.14016,959,0,8.916666666666666,309.7104,0,-73.13084,-0.266667,61.224,0,0
0.13,0,22.5,2019-12-21T00:58:45.000z,29.0,28.99422,961,0,8.5,309.7104,0,-73.13084,0.667578,61.224,0,574
0.13,0,22.5,2019-12-21T00:58:56.000z,29.0,28.42535,962,0,8.75,309.7104,0,-73.13084,1.299089,61.762,0,962
0.13,0,22.5,2019-12-21T00:59:07.000z,29.1,29.5658,960,0,8.25,309.7104,0,-73.13084,0.726172,61.224,0,610
0.13,0,22.5,2019-12-21T00:59:18.000z,29.0,28.99422,961,0,7.75,309.7104,0,-73.13084,1.299089,61.224,0,962
0.13,0,22.5,2019-12-21T00:59:30.000z,29.0,28.99422,961,0,8.25,309.7104,0,-73.13084,0.932878,60.686,0,737
0.13,0,22.5,2019-12-21T00:59:41.000z,29.0,28.99422,961,0,7.833333333333333,309.7104,0,-73.13084,1.297461,61.224,0,961
0.13,0,22.5,2019-12-21T00:59:52.000z,28.9,30.14016,959,0,8.0,309.7104,0,-73.13084,1.294206,61.224,0,959
